year	category	nominee	win	performance	nominee_id
2008	Best Play	The Weinstein Company	Nominee	Rock 'n' Roll	the-weinstein-company-457580
2008	Best Play	The Royal Court Theatre	Nominee	Rock 'n' Roll	the-royal-court-theatre-20781
2008	Best Play	Lincoln Center Theater (André Bishop: Artistic Director; Bernard Gersten: Executive Producer)	Nominee	Rock 'n' Roll	lincoln-center-theater-andr-bishop-artistic-director-bernard-gersten-executive-producer-20494
2008	Best Play	Conor McPherson	Nominee	The Seafarer	conor-mcpherson-4900
2008	Best Play	Ostar Productions	Nominee	The Seafarer	ostar-productions-472645
2008	Best Play	Bob Boyett	Nominee	The Seafarer	bob-boyett-90012
2008	Best Play	Roy Furman	Nominee	The Seafarer	roy-furman-91627
2008	Best Play	Lawrence Horowitz	Nominee	The Seafarer	lawrence-horowitz-22863
2008	Best Play	Jam Theatricals	Nominee	The Seafarer	jam-theatricals-489088
2008	Best Play	Bill Rollnick	Nominee	The Seafarer	bill-rollnick-407575
2008	Best Play	Nancy Ellison Rollnick	Nominee	The Seafarer	nancy-ellison-rollnick-457870
2008	Best Play	James D'Orta	Nominee	The Seafarer	james-dorta-457261
2008	Best Play	Thomas S. Murphy	Nominee	The Seafarer	thomas-s-murphy-474547
2008	Best Play	Ralph Guild	Nominee	The Seafarer	ralph-guild-407574
2008	Best Play	Jon Avnet	Nominee	The Seafarer	jon-avnet-407573
2008	Best Play	Philip Geier	Nominee	The Seafarer	philip-geier-457262
2008	Best Play	Keough Partners	Nominee	The Seafarer	keough-partners-474549
2008	Best Play	Eric Falkenstein	Nominee	The Seafarer	eric-falkenstein-92601
2008	Best Play	Max OnStage	Nominee	The Seafarer	max-onstage-474551
2008	Best Play	The National Theatre of Great Britain	Nominee	The Seafarer	the-national-theatre-of-great-britain-391718
2008	Best Play	Patrick Barlow	Nominee	The 39 Steps	patrick-barlow-469223
2008	Best Play	Roundabout Theatre Company (Todd Haimes: Artistic Director; Harold Wolpert: Managing Director; Julia C. Levy: Executive Director; Gene Feist: Founding Director)	Nominee	The 39 Steps	roundabout-theatre-company-todd-haimes-artistic-director-harold-wolpert-managing-director-julia-c-levy-executive-director-gene-feist-founding-director-406765
2008	Best Play	Bob Boyett	Nominee	The 39 Steps	bob-boyett-90012
2008	Best Play	Harriet Newman Leve	Nominee	The 39 Steps	harriet-newman-leve-22164
2008	Best Play	Ron Nicynski	Nominee	The 39 Steps	ron-nicynski-423014
2008	Best Play	Stewart F. Lane	Nominee	The 39 Steps	stewart-f-lane-23893
2008	Best Play	Bonnie Comley	Nominee	The 39 Steps	bonnie-comley-108656
2008	Best Play	Manocherian Golden Prods.	Nominee	The 39 Steps	manocherian-golden-prods-469221
2008	Best Play	Olympus Theatricals	Nominee	The 39 Steps	olympus-theatricals-477362
2008	Best Play	Douglas Denoff	Nominee	The 39 Steps	douglas-denoff-477363
2008	Best Play	Marek J. Cantor	Nominee	The 39 Steps	marek-j-cantor-477364
2008	Best Play	Pat Addiss	Nominee	The 39 Steps	pat-addiss-392225
2008	Best Play	Huntington Theatre Company (Nicholas Martin, Artistic Director; Michael Maso, Managing Director)	Nominee	The 39 Steps	huntington-theatre-company-nicholas-martin-artistic-director-michael-maso-managing-director-73517
2008	Best Play	Fiery Angel Ltd. (Edward Snape)	Nominee	The 39 Steps	fiery-angel-ltd-edward-snape-477642
2008	Best Musical	Kevin McCollum	Winner	In the Heights	kevin-mccollum-22822
2008	Best Musical	Jeffrey Seller	Winner	In the Heights	jeffrey-seller-22515
2008	Best Musical	Jill Furman	Winner	In the Heights	jill-furman-98084
2008	Best Musical	Sander Jacobs	Winner	In the Heights	sander-jacobs-23789
2008	Best Musical	Goodman/Grossman	Winner	In the Heights	goodman-grossman-506171
2008	Best Musical	Peter Fine	Winner	In the Heights	peter-fine-475967
2008	Best Musical	Everett/Skipper	Winner	In the Heights	everett-skipper-506172
2008	Best Musical	Robert Ahrens	Nominee	Xanadu	robert-ahrens-457587
2008	Best Musical	Dan Vickery	Nominee	Xanadu	dan-vickery-457588
2008	Best Musical	Tara Smith/B.Swibel	Nominee	Xanadu	tara-smith-bswibel-505748
2008	Best Musical	Sarah Murchison/Dale Smith	Nominee	Xanadu	sarah-murchison-dale-smith-505751
2008	Best Musical	The Shubert Organization (Gerald Schoenfeld: Chairman; Philip J. Smith: President; Robert E. Wankel: Executive Vice President)	Nominee	Passing Strange	the-shubert-organization-gerald-schoenfeld-chairman-philip-j-smith-president-robert-e-wankel-executive-vice-president-20834
2008	Best Musical	Elizabeth Ireland McCann	Nominee	Passing Strange	elizabeth-ireland-mccann-28017
2008	Best Musical	Bill Kenwright	Nominee	Passing Strange	bill-kenwright-15299
2008	Best Musical	Chase Mishkin	Nominee	Passing Strange	chase-mishkin-21494
2008	Best Musical	Barbara and Buddy Freitag	Nominee	Passing Strange	barbara-and-buddy-freitag-487859
2008	Best Musical	Broadway Across America	Nominee	Passing Strange	broadway-across-america-477741
2008	Best Musical	Emily Fisher Landau	Nominee	Passing Strange	emily-fisher-landau-516201
2008	Best Musical	Peter May	Nominee	Passing Strange	peter-may-98082
2008	Best Musical	Boyett Ostar Productions	Nominee	Passing Strange	boyett-ostar-productions-380745
2008	Best Musical	Larry Hirschhorn	Nominee	Passing Strange	larry-hirschhorn-417630
2008	Best Musical	Janet Pailet/Steve Klein	Nominee	Passing Strange	janet-pailet-steve-klein-516203
2008	Best Musical	Elie Hirschfeld/Jed Bernstein	Nominee	Passing Strange	elie-hirschfeld-jed-bernstein-516202
2008	Best Musical	Spring Sirkin/Ruth Hendel	Nominee	Passing Strange	spring-sirkin-ruth-hendel-516204
2008	Best Musical	Vasi Laurence/Pat Flicker Addiss	Nominee	Passing Strange	vasi-laurence-pat-flicker-addiss-516205
2008	Best Musical	Wendy Federman/Jackie Barlia Florin	Nominee	Passing Strange	wendy-federman-jackie-barlia-florin-516206
2008	Best Musical	Joey Parnes	Nominee	Passing Strange	joey-parnes-70721
2008	Best Musical	The Joseph Papp Public Theater / New York Shakespeare Festival (Oskar Eustis: Artistic Director; Mara Manus: Executive Director)	Nominee	Passing Strange	the-joseph-papp-public-theater--new-york-shakespeare-festival-oskar-eustis-artistic-director-mara-manus-executive-director-424544
2008	Best Musical	Berkeley Repertory Theatre	Nominee	Passing Strange	berkeley-repertory-theatre-109566
2008	Best Musical	Adam Epstein	Nominee	Cry-Baby	adam-epstein-70375
2008	Best Musical	Allan S. Gordon	Nominee	Cry-Baby	allan-s-gordon-21127
2008	Best Musical	Élan V. McAllister	Nominee	Cry-Baby	lan-v-mcallister-94903
2008	Best Musical	Brian Grazer	Nominee	Cry-Baby	brian-grazer-478161
2008	Best Musical	James P. MacGilvray	Nominee	Cry-Baby	james-p-macgilvray-478162
2008	Best Musical	Universal Pictures Stage Productions	Nominee	Cry-Baby	universal-pictures-stage-productions-490376
2008	Best Musical	Anne Caruso	Nominee	Cry-Baby	anne-caruso-478163
2008	Best Musical	Adam S. Gordon	Nominee	Cry-Baby	adam-s-gordon-478164
2008	Best Musical	Latitude Link	Nominee	Cry-Baby	latitude-link-406866
2008	Best Musical	Pelican Group	Nominee	Cry-Baby	pelican-group-402564
2008	Best Musical	Philip Morgaman	Nominee	Cry-Baby	philip-morgaman-478165
2008	Best Musical	Andrew Farber/Richard Mishaan	Nominee	Cry-Baby	andrew-farber-richard-mishaan-516618
2008	Best Book of a Musical	Stew	Winner	Passing Strange	stew-475092
2008	Best Book of a Musical	Thomas Meehan	Nominee	Cry-Baby	thomas-meehan-8874
2008	Best Book of a Musical	Mark O'Donnell	Nominee	Cry-Baby	mark-odonnell-96207
2008	Best Book of a Musical	Quiara Alegría Hudes	Nominee	In the Heights	quiara-alegra-hudes-459483
2008	Best Book of a Musical	Douglas Carter Beane	Nominee	Xanadu	douglas-carter-beane-407150
2008	Best Original Score Written for the Theatre	Lin-Manuel Miranda	Winner	In the Heights	lin-manuel-miranda-459893
2008	Best Original Score Written for the Theatre	Lin-Manuel Miranda	Winner	In the Heights	lin-manuel-miranda-459893
2008	Best Original Score Written for the Theatre	David Javerbaum	Nominee	Cry-Baby	david-javerbaum-476232
2008	Best Original Score Written for the Theatre	David Javerbaum	Nominee	Cry-Baby	david-javerbaum-476232
2008	Best Original Score Written for the Theatre	Adam Schlesinger	Nominee	Cry-Baby	adam-schlesinger-476231
2008	Best Original Score Written for the Theatre	Adam Schlesinger	Nominee	Cry-Baby	adam-schlesinger-476231
2008	Best Original Score Written for the Theatre	Heidi Rodewald	Nominee	Passing Strange	heidi-rodewald-475093
2008	Best Original Score Written for the Theatre	Stew	Nominee	Passing Strange	stew-475092
2008	Best Original Score Written for the Theatre	Stew	Nominee	Passing Strange	stew-475092
2008	Best Original Score Written for the Theatre	Howard Ashman	Nominee	The Little Mermaid	howard-ashman-6356
