year	category	nominee	winner	film
1934	SHORT SUBJECT (Comedy)	Warner Bros.	False	What, No Men!
1934	SHORT SUBJECT (Novelty)	Skibo Productions	False	Bosom Friends
1934	SHORT SUBJECT (Novelty)	Stacy Woodard and Horace Woodard, Producers	True	City of Wax
1934	SHORT SUBJECT (Novelty)	Pete Smith, Producer	False	Strikes and Spares
1934	SOUND RECORDING	United Artists Studio Sound Department, Thomas T. Moulton, Sound Director	False	The Affairs of Cellini
1934	SOUND RECORDING	Paramount Studio Sound Department, Franklin B. Hansen, Sound Director	False	Cleopatra
1934	SOUND RECORDING	Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director	False	Flirtation Walk
1934	SOUND RECORDING	RKO Radio Studio Sound Department, Carl Dreher, Sound Director	False	The Gay Divorcee
1934	SOUND RECORDING	Universal Studio Sound Department, Theodore Soderberg, Sound Director	False	Imitation of Life
1934	SOUND RECORDING	Columbia Studio Sound Department, John Livadary, Sound Director	True	One Night of Love
1934	SOUND RECORDING	Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director	False	Viva Villa!
1934	SOUND RECORDING	Fox Studio Sound Department, E. H. Hansen, Sound Director	False	The White Parade
1934	WRITING (Adaptation)	Robert Riskin	True	It Happened One Night
1934	WRITING (Adaptation)	Frances Goodrich, Albert Hackett	False	The Thin Man
1934	WRITING (Adaptation)	Ben Hecht	False	Viva Villa!
1934	WRITING (Original Story)	Mauri Grashin	False	Hide-Out
1934	WRITING (Original Story)	Arthur Caesar	True	Manhattan Melodrama
1934	WRITING (Original Story)	Norman Krasna	False	The Richest Girl in the World
1935	ACTOR	Clark Gable	False	Mutiny on the Bounty
1935	ACTOR	Charles Laughton	False	Mutiny on the Bounty
1935	ACTOR	Victor McLaglen	True	The Informer
1935	ACTOR	Paul Muni	False	Black Fury
1935	ACTOR	Franchot Tone	False	Mutiny on the Bounty
1935	ACTRESS	Elisabeth Bergner	False	Escape Me Never
1935	ACTRESS	Claudette Colbert	False	Private Worlds
1935	ACTRESS	Bette Davis	True	Dangerous
1935	ACTRESS	Katharine Hepburn	False	Alice Adams
1935	ACTRESS	Miriam Hopkins	False	Becky Sharp
1935	ACTRESS	Merle Oberon	False	The Dark Angel
1935	ART DIRECTION	Richard Day	True	The Dark Angel
1935	ART DIRECTION	Hans Dreier, Roland Anderson	False	The Lives of a Bengal Lancer
1935	ART DIRECTION	Van Nest Polglase, Carroll Clark	False	Top Hat
1935	ASSISTANT DIRECTOR	Joseph Newman	False	David Copperfield
1935	ASSISTANT DIRECTOR	Eric Stacey	False	Les Miserables
1935	ASSISTANT DIRECTOR	Clem Beauchamp, Paul Wing	True	The Lives of a Bengal Lancer
1935	ASSISTANT DIRECTOR	Sherry Shourds	False	A Midsummer Night's Dream
1935	CINEMATOGRAPHY	Ray June	False	Barbary Coast
1935	CINEMATOGRAPHY	Victor Milner	False	The Crusades
1935	CINEMATOGRAPHY	Gregg Toland	False	Les Miserables
1935	CINEMATOGRAPHY	Hal Mohr	True	A Midsummer Night's Dream
1935	DANCE DIRECTION	Busby Berkeley	False	Gold Diggers of 1935
1935	DANCE DIRECTION	Bobby Connolly	False	Go into Your Dance;
1935	DANCE DIRECTION	Dave Gould	True	Broadway Melody of 1936;
1935	DANCE DIRECTION	Sammy Lee	False	King of Burlesque
1935	DANCE DIRECTION	Hermes Pan	False	Top Hat
1935	DANCE DIRECTION	LeRoy Prinz	False	Big Broadcast of 1936;
1935	DANCE DIRECTION	Benjamin Zemach	False	She
1935	DIRECTING	Michael Curtiz	False	Captain Blood
1935	DIRECTING	John Ford	True	The Informer
1935	DIRECTING	Henry Hathaway	False	The Lives of a Bengal Lancer
1935	DIRECTING	Frank Lloyd	False	Mutiny on the Bounty
1935	FILM EDITING	Robert J. Kern	False	David Copperfield
1935	FILM EDITING	George Hively	False	The Informer
1935	FILM EDITING	Barbara McLean	False	Les Miserables
1935	FILM EDITING	Ellsworth Hoagland	False	The Lives of a Bengal Lancer
1935	FILM EDITING	Ralph Dawson	True	A Midsummer Night's Dream
1935	FILM EDITING	Margaret Booth	False	Mutiny on the Bounty
1935	MUSIC (Scoring)	Warner Bros.-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)	False	Captain Blood
1935	MUSIC (Scoring)	RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)	True	The Informer
1935	MUSIC (Scoring)	Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)	False	Mutiny on the Bounty
1935	MUSIC (Scoring)	Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)	False	Peter Ibbetson
1935	MUSIC (Song)	Music and Lyrics by Irving Berlin	False	Top Hat
1935	MUSIC (Song)	Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh	False	Roberta
1935	MUSIC (Song)	Music by Harry Warren; Lyrics by Al Dubin	True	Gold Diggers of 1935
1935	OUTSTANDING PRODUCTION	RKO Radio	False	Alice Adams
1935	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	Broadway Melody of 1936
1935	OUTSTANDING PRODUCTION	Cosmopolitan	False	Captain Blood
1935	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	David Copperfield
1935	OUTSTANDING PRODUCTION	RKO Radio	False	The Informer
1935	OUTSTANDING PRODUCTION	20th Century	False	Les Miserables
1935	OUTSTANDING PRODUCTION	Paramount	False	The Lives of a Bengal Lancer
1935	OUTSTANDING PRODUCTION	Warner Bros.	False	A Midsummer Night's Dream
1935	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	True	Mutiny on the Bounty
1935	OUTSTANDING PRODUCTION	Metro-Goldwyn-Mayer	False	Naughty Marietta
1935	OUTSTANDING PRODUCTION	Paramount	False	Ruggles of Red Gap
1935	OUTSTANDING PRODUCTION	RKO Radio	False	Top Hat
1935	SHORT SUBJECT (Cartoon)	Harman-Ising	False	The Calico Dragon
1935	SHORT SUBJECT (Cartoon)	Walt Disney, Producer	True	Three Orphan Kittens
1935	SHORT SUBJECT (Cartoon)	Walt Disney, Producer	False	Who Killed Cock Robin?
1935	SHORT SUBJECT (Comedy)	Jack Chertok, Producer	True	How to Sleep
1935	SHORT SUBJECT (Comedy)	Jules White, Producer	False	Oh, My Nerves
